ID,SALT,PASSWORD,HASHED PASSWORD,TIME
1,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75025775
2,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,76332165
3,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74150428
4,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73106113
5,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,78877357
6,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74124149
7,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73048769
8,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75227137
9,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,76200936
10,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72433929
11,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72816460
12,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74150027
13,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72554187
14,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72089558
15,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73392550
16,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71229877
17,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73874676
18,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72773731
19,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75229970
20,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72935258
21,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74939202
22,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74445325
23,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72318868
24,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74325789
25,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72995157
26,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,76452672
27,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74614941
28,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74894999
29,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74300955
30,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73810264
31,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72452676
32,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75308896
33,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72787891
34,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71320260
35,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72272816
36,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74255280
37,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72988711
38,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72570084
39,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72018748
40,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72411123
41,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73478421
42,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73881556
43,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72946208
44,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75841249
45,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,77235794
46,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,88557261
47,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,79457327
48,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74687652
