ID,SALT,PASSWORD,HASHED PASSWORD,TIME
1,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73054390
2,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,78016770
3,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72138144
4,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73136950
5,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,70861972
6,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75556026
7,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,78269828
8,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72923415
9,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74958455
10,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71051748
11,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71554956
12,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71062574
13,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,70433026
14,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,70532855
15,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,78197553
16,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74377455
17,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71071869
18,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73763938
19,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72216836
20,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,76932543
21,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72183915
22,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71261506
23,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74643920
24,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73014621
25,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71038627
26,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73247979
27,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75152556
28,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74654052
29,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,77806691
30,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73862730
31,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,76726819
32,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72540052
33,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71740349
34,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74348401
35,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,75446849
36,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,72520863
37,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,74160970
38,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,73955182
39,10,Y5N=j>Naxr=MZ3*j,$2a$10$LRMfNnzHbQfyxwXWECUDZOPw4u9uUN.NlbjuAI4PaHGiAPKhXIaU6,71320698
