ID,SALT,PASSWORD,TIME
1,10,Y5N=j>Naxr=MZ3*j,80535658
2,10,Y5N=j>Naxr=MZ3*j,94180758
3,10,Y5N=j>Naxr=MZ3*j,78754478
4,10,Y5N=j>Naxr=MZ3*j,73384687
5,10,Y5N=j>Naxr=MZ3*j,77784013
6,10,Y5N=j>Naxr=MZ3*j,74825705
7,10,Y5N=j>Naxr=MZ3*j,76491476
8,10,Y5N=j>Naxr=MZ3*j,75031428
9,10,Y5N=j>Naxr=MZ3*j,74111765
10,10,Y5N=j>Naxr=MZ3*j,73013023
11,10,Y5N=j>Naxr=MZ3*j,72577713
12,10,Y5N=j>Naxr=MZ3*j,77650462
13,10,Y5N=j>Naxr=MZ3*j,74402552
14,10,Y5N=j>Naxr=MZ3*j,71921327
15,10,Y5N=j>Naxr=MZ3*j,77499874
16,10,Y5N=j>Naxr=MZ3*j,70119778
17,10,Y5N=j>Naxr=MZ3*j,77343741
18,10,Y5N=j>Naxr=MZ3*j,74400491
19,10,Y5N=j>Naxr=MZ3*j,73166328
20,10,Y5N=j>Naxr=MZ3*j,71225151
21,10,Y5N=j>Naxr=MZ3*j,74675643
22,10,Y5N=j>Naxr=MZ3*j,74812283
23,10,Y5N=j>Naxr=MZ3*j,68527535
24,10,Y5N=j>Naxr=MZ3*j,70715072
25,10,Y5N=j>Naxr=MZ3*j,74782046
26,10,Y5N=j>Naxr=MZ3*j,69019409
27,10,Y5N=j>Naxr=MZ3*j,73267577
28,10,Y5N=j>Naxr=MZ3*j,72584876
29,10,Y5N=j>Naxr=MZ3*j,72206047
30,10,Y5N=j>Naxr=MZ3*j,79358969
31,10,Y5N=j>Naxr=MZ3*j,79227556
32,10,Y5N=j>Naxr=MZ3*j,69447860
33,10,Y5N=j>Naxr=MZ3*j,73648644
34,10,Y5N=j>Naxr=MZ3*j,74679665
35,10,Y5N=j>Naxr=MZ3*j,71595740
36,10,Y5N=j>Naxr=MZ3*j,69076915
37,10,Y5N=j>Naxr=MZ3*j,71088815
38,10,Y5N=j>Naxr=MZ3*j,73716818
39,10,Y5N=j>Naxr=MZ3*j,78709092
40,10,Y5N=j>Naxr=MZ3*j,73002151
41,10,Y5N=j>Naxr=MZ3*j,77674436
42,10,Y5N=j>Naxr=MZ3*j,77407423
43,10,Y5N=j>Naxr=MZ3*j,68806186
44,10,Y5N=j>Naxr=MZ3*j,77025830
45,10,Y5N=j>Naxr=MZ3*j,76499027
46,10,Y5N=j>Naxr=MZ3*j,68815534
47,10,Y5N=j>Naxr=MZ3*j,77096435
48,10,Y5N=j>Naxr=MZ3*j,73682411
49,10,Y5N=j>Naxr=MZ3*j,72763063
50,10,Y5N=j>Naxr=MZ3*j,75452189
51,10,Y5N=j>Naxr=MZ3*j,73175650
52,10,Y5N=j>Naxr=MZ3*j,79904744
53,10,Y5N=j>Naxr=MZ3*j,81910741
54,10,Y5N=j>Naxr=MZ3*j,69124096
55,10,Y5N=j>Naxr=MZ3*j,72544640
56,10,Y5N=j>Naxr=MZ3*j,77518821
57,10,Y5N=j>Naxr=MZ3*j,68288136
58,10,Y5N=j>Naxr=MZ3*j,72531117
59,10,Y5N=j>Naxr=MZ3*j,68110988
60,10,Y5N=j>Naxr=MZ3*j,74589580
61,10,Y5N=j>Naxr=MZ3*j,68356044
62,10,Y5N=j>Naxr=MZ3*j,74348003
63,10,Y5N=j>Naxr=MZ3*j,74667586
64,10,Y5N=j>Naxr=MZ3*j,74486211
65,10,Y5N=j>Naxr=MZ3*j,68566387
66,10,Y5N=j>Naxr=MZ3*j,77798819
67,10,Y5N=j>Naxr=MZ3*j,70394311
68,10,Y5N=j>Naxr=MZ3*j,68627783
69,10,Y5N=j>Naxr=MZ3*j,69949615
70,10,Y5N=j>Naxr=MZ3*j,76683703
71,10,Y5N=j>Naxr=MZ3*j,72468597
72,10,Y5N=j>Naxr=MZ3*j,72846159
73,10,Y5N=j>Naxr=MZ3*j,68577244
74,10,Y5N=j>Naxr=MZ3*j,70354815
75,10,Y5N=j>Naxr=MZ3*j,72543346
76,10,Y5N=j>Naxr=MZ3*j,69964342
77,10,Y5N=j>Naxr=MZ3*j,88346368
78,10,Y5N=j>Naxr=MZ3*j,73843672
79,10,Y5N=j>Naxr=MZ3*j,73238631
80,10,Y5N=j>Naxr=MZ3*j,69603461
81,10,Y5N=j>Naxr=MZ3*j,75672131
82,10,Y5N=j>Naxr=MZ3*j,71830553
83,10,Y5N=j>Naxr=MZ3*j,79556875
84,10,Y5N=j>Naxr=MZ3*j,68956271
